Sciezka;Etykiety
Dataset/train/images\BTR (5364).jpg;Bird
Dataset/train/images\BTR (5365).jpg;Bird
Dataset/train/images\BTR (5366).jpg;Bird
Dataset/train/images\BTR (5367).jpg;Bird
Dataset/train/images\BTR (5368).jpg;Bird
Dataset/train/images\BTR (5369).jpg;Bird
Dataset/train/images\BTR (537).jpg;Bird
Dataset/train/images\BTR (5370).jpg;Bird
Dataset/train/images\BTR (5371).jpg;Bird
Dataset/train/images\BTR (5372).jpg;Bird
Dataset/train/images\BTR (5373).jpg;Bird
Dataset/train/images\BTR (5374).jpg;Bird
Dataset/train/images\BTR (5375).jpg;Bird
Dataset/train/images\BTR (5376).jpg;Bird
Dataset/train/images\BTR (5377).jpg;Bird
Dataset/train/images\BTR (5378).jpg;Bird
Dataset/train/images\BTR (5379).jpg;Bird
Dataset/train/images\BTR (538).jpg;Bird
Dataset/train/images\BTR (5380).jpg;Bird
Dataset/train/images\BTR (5381).jpg;Bird
Dataset/train/images\BTR (5382).jpg;Bird
Dataset/train/images\BTR (5383).jpg;Bird
Dataset/train/images\BTR (5384).jpg;Bird
Dataset/train/images\BTR (5385).jpg;Bird
Dataset/train/images\BTR (5386).jpg;Bird
Dataset/train/images\BTR (5387).jpg;Bird
Dataset/train/images\BTR (5388).jpg;Bird
Dataset/train/images\BTR (5389).jpg;Bird
Dataset/train/images\BTR (539).jpg;Bird
Dataset/train/images\BTR (5390).jpg;Bird
Dataset/train/images\BTR (5391).jpg;Bird
Dataset/train/images\BTR (5392).jpg;Bird
Dataset/train/images\BTR (5393).jpg;Bird
Dataset/train/images\BTR (5394).jpg;Bird
Dataset/train/images\BTR (5395).jpg;Bird
Dataset/train/images\BTR (5396).jpg;Bird
Dataset/train/images\BTR (5397).jpg;Bird
Dataset/train/images\BTR (5398).jpg;Bird
Dataset/train/images\BTR (5399).jpg;Bird
Dataset/train/images\BTR (54).jpg;Bird
Dataset/train/images\BTR (540).jpg;Bird
Dataset/train/images\BTR (5400).jpg;Bird
Dataset/train/images\BTR (5401).jpg;Bird
Dataset/train/images\BTR (5402).jpg;Bird
Dataset/train/images\BTR (5403).jpg;Bird
Dataset/train/images\BTR (5404).jpg;Bird
Dataset/train/images\BTR (5405).jpg;Bird
Dataset/train/images\BTR (5406).jpg;Bird
Dataset/train/images\BTR (5407).jpg;Bird
Dataset/train/images\BTR (5408).jpg;Bird
Dataset/train/images\BTR (5409).jpg;Bird
Dataset/train/images\BTR (541).jpg;Bird
Dataset/train/images\BTR (5410).jpg;Bird
Dataset/train/images\BTR (5411).jpg;Bird
Dataset/train/images\BTR (5412).jpg;Bird
Dataset/train/images\BTR (5413).jpg;Bird
Dataset/train/images\BTR (5414).jpg;Bird
Dataset/train/images\BTR (5415).jpg;Bird
Dataset/train/images\BTR (5416).jpg;Bird
Dataset/train/images\BTR (5417).jpg;Bird
Dataset/train/images\BTR (5418).jpg;Bird
Dataset/train/images\BTR (5419).jpg;Bird
Dataset/train/images\BTR (542).jpg;Bird
Dataset/train/images\BTR (5420).jpg;Bird
Dataset/train/images\BTR (5421).jpg;Bird
Dataset/train/images\BTR (5422).jpg;Bird
Dataset/train/images\BTR (5423).jpg;Bird
Dataset/train/images\BTR (5424).jpg;Bird
Dataset/train/images\BTR (5425).jpg;Bird
Dataset/train/images\BTR (5426).jpg;Bird
Dataset/train/images\BTR (5427).jpg;Bird
Dataset/train/images\BTR (5428).jpg;Bird
Dataset/train/images\BTR (5429).jpg;Bird
Dataset/train/images\BTR (543).jpg;Bird
Dataset/train/images\BTR (5430).jpg;Bird
Dataset/train/images\BTR (5431).jpg;Bird
Dataset/train/images\BTR (5432).jpg;Bird
Dataset/train/images\BTR (5433).jpg;Bird
Dataset/train/images\BTR (5434).jpg;Bird
Dataset/train/images\BTR (5435).jpg;Bird
Dataset/train/images\BTR (5436).jpg;Bird
Dataset/train/images\BTR (5437).jpg;Bird
Dataset/train/images\BTR (5438).jpg;Bird
Dataset/train/images\BTR (5439).jpg;Bird
Dataset/train/images\BTR (544).jpg;Bird
Dataset/train/images\BTR (5440).jpg;Bird
Dataset/train/images\BTR (5441).jpg;Bird
Dataset/train/images\BTR (5442).jpg;Bird
Dataset/train/images\BTR (5443).jpg;Bird
Dataset/train/images\BTR (5444).jpg;Bird
Dataset/train/images\BTR (5445).jpg;Bird
Dataset/train/images\BTR (5446).jpg;Bird
Dataset/train/images\BTR (5447).jpg;Bird
Dataset/train/images\BTR (5448).jpg;Bird
Dataset/train/images\BTR (5449).jpg;Bird
Dataset/train/images\BTR (545).jpg;Bird
Dataset/train/images\BTR (5450).jpg;Bird
Dataset/train/images\BTR (5451).jpg;Bird
Dataset/train/images\BTR (5452).jpg;Bird
Dataset/train/images\BTR (5453).jpg;Bird
Dataset/train/images\BTR (5454).jpg;Bird
Dataset/train/images\BTR (5455).jpg;Bird
Dataset/train/images\BTR (5456).jpg;Bird
Dataset/train/images\BTR (5457).jpg;Bird
Dataset/train/images\BTR (5458).jpg;Bird
Dataset/train/images\BTR (5459).jpg;Bird
Dataset/train/images\BTR (546).jpg;Bird
Dataset/train/images\BTR (5460).jpg;Bird
Dataset/train/images\BTR (5461).jpg;Bird
Dataset/train/images\BTR (5462).jpg;Bird
Dataset/train/images\BTR (5463).jpg;Bird
Dataset/train/images\BTR (5464).jpg;Bird
Dataset/train/images\BTR (5465).jpg;Bird
Dataset/train/images\BTR (5466).jpg;Bird
Dataset/train/images\BTR (5467).jpg;Bird
Dataset/train/images\BTR (5468).jpg;Bird
Dataset/train/images\BTR (5469).jpg;Bird
Dataset/train/images\BTR (547).jpg;Bird
Dataset/train/images\BTR (5470).jpg;Bird
Dataset/train/images\BTR (5471).jpg;Bird
Dataset/train/images\BTR (5472).jpg;Bird
Dataset/train/images\BTR (5473).jpg;Bird
Dataset/train/images\BTR (5474).jpg;Bird
Dataset/train/images\BTR (5475).jpg;Bird
Dataset/train/images\BTR (5476).jpg;Bird
Dataset/train/images\BTR (5477).jpg;Bird
Dataset/train/images\BTR (5478).jpg;Bird
Dataset/train/images\BTR (5479).jpg;Bird
Dataset/train/images\BTR (548).jpg;Bird
Dataset/train/images\BTR (5480).jpg;Bird
Dataset/train/images\BTR (5481).jpg;Bird
Dataset/train/images\BTR (5482).jpg;Bird
Dataset/train/images\BTR (5483).jpg;Bird
Dataset/train/images\BTR (5484).jpg;Bird
Dataset/train/images\BTR (5485).jpg;Bird
Dataset/train/images\BTR (5486).jpg;Bird
Dataset/train/images\BTR (5487).jpg;Bird
Dataset/train/images\BTR (5488).jpg;Bird
Dataset/train/images\BTR (5489).jpg;Bird
Dataset/train/images\BTR (549).jpg;Bird
Dataset/train/images\BTR (5490).jpg;Bird
Dataset/train/images\BTR (5491).jpg;Bird
Dataset/train/images\BTR (5492).jpg;Bird
Dataset/train/images\BTR (5493).jpg;Bird
Dataset/train/images\BTR (5494).jpg;Bird
Dataset/train/images\BTR (5495).jpg;Bird
Dataset/train/images\BTR (5496).jpg;Bird
Dataset/train/images\BTR (5497).jpg;Bird
Dataset/train/images\BTR (5498).jpg;Bird
Dataset/train/images\BTR (5499).jpg;Bird
Dataset/train/images\BTR (55).jpg;Bird
Dataset/train/images\BTR (550).jpg;Bird
Dataset/train/images\BTR (5500).jpg;Bird
Dataset/train/images\BTR (5501).jpg;Bird
Dataset/train/images\BTR (5502).jpg;Bird
Dataset/train/images\BTR (5503).jpg;Bird
Dataset/train/images\BTR (5504).jpg;Bird
Dataset/train/images\BTR (5505).jpg;Bird
Dataset/train/images\BTR (5506).jpg;Bird
Dataset/train/images\BTR (5507).jpg;Bird
Dataset/train/images\BTR (5508).jpg;Bird
Dataset/train/images\BTR (5509).jpg;Bird
Dataset/train/images\BTR (551).jpg;Bird
Dataset/train/images\BTR (5510).jpg;Bird
Dataset/train/images\BTR (5511).jpg;Bird
Dataset/train/images\BTR (5512).jpg;Bird
Dataset/train/images\BTR (5513).jpg;Bird
Dataset/train/images\BTR (5514).jpg;Bird
Dataset/train/images\BTR (5515).jpg;Bird
Dataset/train/images\BTR (5516).jpg;Bird
Dataset/train/images\BTR (5517).jpg;Bird
Dataset/train/images\BTR (5518).jpg;Bird
Dataset/train/images\BTR (5519).jpg;Bird
Dataset/train/images\BTR (552).jpg;Bird
Dataset/train/images\BTR (5520).jpg;Bird
Dataset/train/images\BTR (5521).jpg;Bird
Dataset/train/images\BTR (5522).jpg;Bird
Dataset/train/images\BTR (5523).jpg;Bird
Dataset/train/images\BTR (5524).jpg;Bird
Dataset/train/images\BTR (5525).jpg;Bird
Dataset/train/images\BTR (5526).jpg;Bird
Dataset/train/images\BTR (5527).jpg;Bird
Dataset/train/images\BTR (5528).jpg;Bird
Dataset/train/images\BTR (5529).jpg;Bird
Dataset/train/images\BTR (553).jpg;Bird
Dataset/train/images\BTR (5530).jpg;Bird
Dataset/train/images\BTR (5531).jpg;Bird
Dataset/train/images\BTR (5532).jpg;Bird
Dataset/train/images\BTR (5533).jpg;Bird
Dataset/train/images\BTR (5534).jpg;Bird
Dataset/train/images\BTR (5535).jpg;Bird
Dataset/train/images\BTR (5536).jpg;Bird
Dataset/train/images\BTR (5537).jpg;Bird
Dataset/train/images\BTR (5538).jpg;Bird
Dataset/train/images\BTR (5539).jpg;Bird
Dataset/train/images\BTR (554).jpg;Bird
Dataset/train/images\BTR (5540).jpg;Bird
Dataset/train/images\BTR (5541).jpg;Bird
Dataset/train/images\BTR (5542).jpg;Bird
Dataset/train/images\BTR (5543).jpg;Bird
Dataset/train/images\BTR (5544).jpg;Bird
Dataset/train/images\BTR (5545).jpg;Bird
Dataset/train/images\BTR (5546).jpg;Bird
Dataset/train/images\BTR (5547).jpg;Bird
Dataset/train/images\BTR (5548).jpg;Bird
Dataset/train/images\BTR (5549).jpg;Bird
Dataset/train/images\BTR (555).jpg;Bird
Dataset/train/images\BTR (5550).jpg;Bird
Dataset/train/images\BTR (5551).jpg;Bird
Dataset/train/images\BTR (5552).jpg;Bird
Dataset/train/images\BTR (5553).jpg;Bird
Dataset/train/images\BTR (5554).jpg;Bird
Dataset/train/images\BTR (5555).jpg;Bird
Dataset/train/images\BTR (5556).jpg;Bird
Dataset/train/images\BTR (5557).jpg;Bird
Dataset/train/images\BTR (5558).jpg;Bird
Dataset/train/images\BTR (5559).jpg;Bird
Dataset/train/images\BTR (556).jpg;Bird
Dataset/train/images\BTR (5560).jpg;Bird
Dataset/train/images\BTR (5561).jpg;Bird
Dataset/train/images\BTR (5562).jpg;Bird
Dataset/train/images\BTR (5563).jpg;Bird
Dataset/train/images\BTR (5564).jpg;Bird
Dataset/train/images\BTR (5565).jpg;Bird
Dataset/train/images\BTR (5566).jpg;Bird
Dataset/train/images\BTR (5567).jpg;Bird
Dataset/train/images\BTR (5568).jpg;Bird
Dataset/train/images\BTR (5569).jpg;Bird
Dataset/train/images\BTR (557).jpg;Bird
Dataset/train/images\BTR (5570).jpg;Bird
Dataset/train/images\BTR (5571).jpg;Bird
Dataset/train/images\BTR (5572).jpg;Bird
Dataset/train/images\BTR (5573).jpg;Bird
Dataset/train/images\BTR (5574).jpg;Bird
Dataset/train/images\BTR (5575).jpg;Bird
Dataset/train/images\BTR (5576).jpg;Bird
Dataset/train/images\BTR (5577).jpg;Bird
Dataset/train/images\BTR (5578).jpg;Bird
Dataset/train/images\BTR (5579).jpg;Bird
Dataset/train/images\BTR (558).jpg;Bird
Dataset/train/images\BTR (5580).jpg;Bird
Dataset/train/images\BTR (5581).jpg;Bird
Dataset/train/images\BTR (5582).jpg;Bird
Dataset/train/images\BTR (5583).jpg;Bird
Dataset/train/images\BTR (5584).jpg;Bird
Dataset/train/images\BTR (5585).jpg;Bird
Dataset/train/images\BTR (5586).jpg;Bird
Dataset/train/images\BTR (5587).jpg;Bird
Dataset/train/images\BTR (5588).jpg;Bird
Dataset/train/images\BTR (5589).jpg;Bird
Dataset/train/images\BTR (559).jpg;Bird
Dataset/train/images\BTR (5590).jpg;Bird
Dataset/train/images\BTR (5591).jpg;Bird
Dataset/train/images\BTR (5592).jpg;Bird
Dataset/train/images\BTR (5593).jpg;Bird
Dataset/train/images\BTR (5594).jpg;Bird
Dataset/train/images\BTR (5595).jpg;Bird
Dataset/train/images\BTR (5596).jpg;Bird
Dataset/train/images\BTR (5597).jpg;Bird
Dataset/train/images\BTR (5598).jpg;Bird
Dataset/train/images\BTR (5599).jpg;Bird
Dataset/train/images\BTR (56).jpg;Bird
Dataset/train/images\BTR (560).jpg;Bird
Dataset/train/images\BTR (5600).jpg;Bird
Dataset/train/images\BTR (5601).jpg;Bird
Dataset/train/images\BTR (5602).jpg;Bird
Dataset/train/images\BTR (5603).jpg;Bird
Dataset/train/images\BTR (5604).jpg;Bird
Dataset/train/images\BTR (5605).jpg;Bird
Dataset/train/images\BTR (5606).jpg;Bird
Dataset/train/images\BTR (5607).jpg;Bird
Dataset/train/images\BTR (5608).jpg;Bird
Dataset/train/images\BTR (5609).jpg;Bird
Dataset/train/images\BTR (561).jpg;Bird
Dataset/train/images\BTR (5610).jpg;Bird
Dataset/train/images\BTR (5611).jpg;Bird
Dataset/train/images\BTR (5612).jpg;Bird
Dataset/train/images\BTR (5613).jpg;Bird
Dataset/train/images\BTR (5614).jpg;Bird
Dataset/train/images\BTR (5615).jpg;Bird
Dataset/train/images\BTR (5616).jpg;Bird
Dataset/train/images\BTR (5617).jpg;Bird
Dataset/train/images\BTR (5618).jpg;Bird
Dataset/train/images\BTR (5619).jpg;Bird
Dataset/train/images\BTR (562).jpg;Bird
Dataset/train/images\BTR (5620).jpg;Bird
Dataset/train/images\BTR (5621).jpg;Bird
Dataset/train/images\BTR (5622).jpg;Bird
Dataset/train/images\BTR (5623).jpg;Bird
Dataset/train/images\BTR (5624).jpg;Bird
Dataset/train/images\BTR (5625).jpg;Bird
Dataset/train/images\BTR (5626).jpg;Bird
Dataset/train/images\BTR (5627).jpg;Bird
Dataset/train/images\BTR (5628).jpg;Bird
Dataset/train/images\BTR (5629).jpg;Bird
Dataset/train/images\BTR (563).jpg;Bird
Dataset/train/images\BTR (5630).jpg;Bird
Dataset/train/images\BTR (5631).jpg;Bird
Dataset/train/images\BTR (5632).jpg;Bird
Dataset/train/images\BTR (5633).jpg;Bird
Dataset/train/images\BTR (5634).jpg;Bird
Dataset/train/images\BTR (5635).jpg;Bird
Dataset/train/images\BTR (5636).jpg;Bird
Dataset/train/images\BTR (5637).jpg;Bird
Dataset/train/images\BTR (5638).jpg;Bird
Dataset/train/images\BTR (5639).jpg;Bird
Dataset/train/images\BTR (564).jpg;Bird
Dataset/train/images\BTR (5640).jpg;Bird
Dataset/train/images\BTR (5641).jpg;Bird
Dataset/train/images\BTR (5642).jpg;Bird
Dataset/train/images\BTR (5643).jpg;Bird
Dataset/train/images\BTR (5644).jpg;Bird
Dataset/train/images\BTR (5645).jpg;Bird
Dataset/train/images\BTR (5646).jpg;Bird
Dataset/train/images\BTR (5647).jpg;Bird
Dataset/train/images\BTR (5648).jpg;Bird
Dataset/train/images\BTR (5649).jpg;Bird
Dataset/train/images\BTR (565).jpg;Bird
Dataset/train/images\BTR (5650).jpg;Bird
Dataset/train/images\BTR (5651).jpg;Bird
Dataset/train/images\BTR (5652).jpg;Bird
Dataset/train/images\BTR (5653).jpg;Bird
Dataset/train/images\BTR (5654).jpg;Bird
Dataset/train/images\BTR (5655).jpg;Bird
Dataset/train/images\BTR (5656).jpg;Bird
Dataset/train/images\BTR (5657).jpg;Bird
Dataset/train/images\BTR (5658).jpg;Bird
Dataset/train/images\BTR (5659).jpg;Bird
Dataset/train/images\BTR (566).jpg;Bird
Dataset/train/images\BTR (5660).jpg;Bird
Dataset/train/images\BTR (5661).jpg;Bird
Dataset/train/images\BTR (5662).jpg;Bird
Dataset/train/images\BTR (5663).jpg;Bird
Dataset/train/images\BTR (5664).jpg;Bird
Dataset/train/images\BTR (5665).jpg;Bird
Dataset/train/images\BTR (5666).jpg;Bird
Dataset/train/images\BTR (5667).jpg;Bird
Dataset/train/images\BTR (5668).jpg;Bird
Dataset/train/images\BTR (5669).jpg;Bird
Dataset/train/images\BTR (567).jpg;Bird
Dataset/train/images\BTR (5670).jpg;Bird
Dataset/train/images\BTR (5671).jpg;Bird
Dataset/train/images\BTR (5672).jpg;Bird
Dataset/train/images\BTR (5673).jpg;Bird
Dataset/train/images\BTR (5674).jpg;Bird
Dataset/train/images\BTR (5675).jpg;Bird
Dataset/train/images\BTR (5676).jpg;Bird
Dataset/train/images\BTR (5677).jpg;Bird
Dataset/train/images\BTR (5678).jpg;Bird
Dataset/train/images\BTR (5679).jpg;Bird
Dataset/train/images\BTR (568).jpg;Bird
Dataset/train/images\BTR (5680).jpg;Bird
Dataset/train/images\BTR (5681).jpg;Bird
Dataset/train/images\BTR (5682).jpg;Bird
Dataset/train/images\BTR (5683).jpg;Bird
Dataset/train/images\BTR (5684).jpg;Bird
Dataset/train/images\BTR (5685).jpg;Bird
Dataset/train/images\BTR (5686).jpg;Bird
Dataset/train/images\BTR (5687).jpg;Bird
Dataset/train/images\BTR (5688).jpg;Bird
Dataset/train/images\BTR (5689).jpg;Bird
Dataset/train/images\BTR (569).jpg;Bird
Dataset/train/images\BTR (5690).jpg;Bird
Dataset/train/images\BTR (5691).jpg;Bird
Dataset/train/images\BTR (5692).jpg;Bird
Dataset/train/images\BTR (5693).jpg;Bird
Dataset/train/images\BTR (5694).jpg;Bird
Dataset/train/images\BTR (5695).jpg;Bird
Dataset/train/images\BTR (5696).jpg;Bird
Dataset/train/images\BTR (5697).jpg;Bird
Dataset/train/images\BTR (5698).jpg;Bird
Dataset/train/images\BTR (5699).jpg;Bird
Dataset/train/images\BTR (57).jpg;Bird
Dataset/train/images\BTR (570).jpg;Bird
Dataset/train/images\BTR (5700).jpg;Bird
Dataset/train/images\BTR (5701).jpg;Bird
Dataset/train/images\BTR (5702).jpg;Bird
Dataset/train/images\BTR (5703).jpg;Bird
Dataset/train/images\BTR (5704).jpg;Bird
Dataset/train/images\BTR (5705).jpg;Bird
Dataset/train/images\BTR (5706).jpg;Bird
Dataset/train/images\BTR (5707).jpg;Bird
Dataset/train/images\BTR (5708).jpg;Bird
Dataset/train/images\BTR (5709).jpg;Bird
Dataset/train/images\BTR (571).jpg;Bird
Dataset/train/images\BTR (5710).jpg;Bird
Dataset/train/images\BTR (5711).jpg;Bird
Dataset/train/images\BTR (5712).jpg;Bird
Dataset/train/images\BTR (5713).jpg;Bird
Dataset/train/images\BTR (5714).jpg;Bird
Dataset/train/images\BTR (5715).jpg;Bird
Dataset/train/images\BTR (5716).jpg;Bird
Dataset/train/images\BTR (5717).jpg;Bird
Dataset/train/images\BTR (5718).jpg;Bird
Dataset/train/images\BTR (5719).jpg;Bird
Dataset/train/images\BTR (572).jpg;Bird
Dataset/train/images\BTR (5720).jpg;Bird
Dataset/train/images\BTR (5721).jpg;Bird
Dataset/train/images\BTR (5722).jpg;Bird
Dataset/train/images\BTR (5723).jpg;Bird
Dataset/train/images\BTR (5724).jpg;Bird
Dataset/train/images\BTR (5725).jpg;Bird
Dataset/train/images\BTR (5726).jpg;Bird
Dataset/train/images\BTR (5727).jpg;Bird
Dataset/train/images\BTR (5728).jpg;Bird
Dataset/train/images\BTR (5729).jpg;Bird
Dataset/train/images\BTR (573).jpg;Bird
Dataset/train/images\BTR (5730).jpg;Bird
Dataset/train/images\BTR (5731).jpg;Bird
Dataset/train/images\BTR (5732).jpg;Bird
Dataset/train/images\BTR (5733).jpg;Bird
Dataset/train/images\BTR (5734).jpg;Bird
Dataset/train/images\BTR (5735).jpg;Bird
Dataset/train/images\BTR (5736).jpg;Bird
Dataset/train/images\BTR (5737).jpg;Bird
Dataset/train/images\BTR (5738).jpg;Bird
Dataset/train/images\BTR (5739).jpg;Bird
Dataset/train/images\BTR (574).jpg;Bird
Dataset/train/images\BTR (5740).jpg;Bird
Dataset/train/images\BTR (5741).jpg;Bird
Dataset/train/images\BTR (5742).jpg;Bird
Dataset/train/images\BTR (5743).jpg;Bird
Dataset/train/images\BTR (5744).jpg;Bird
Dataset/train/images\BTR (5745).jpg;Bird
Dataset/train/images\BTR (5746).jpg;Bird
Dataset/train/images\BTR (5747).jpg;Bird
Dataset/train/images\BTR (5748).jpg;Bird
Dataset/train/images\BTR (5749).jpg;Bird
Dataset/train/images\BTR (575).jpg;Bird
Dataset/train/images\BTR (5750).jpg;Bird
Dataset/train/images\BTR (5751).jpg;Bird
Dataset/train/images\BTR (5752).jpg;Bird
Dataset/train/images\BTR (5753).jpg;Bird
Dataset/train/images\BTR (5754).jpg;Bird
Dataset/train/images\BTR (5755).jpg;Bird
Dataset/train/images\BTR (5756).jpg;Bird
Dataset/train/images\BTR (5757).jpg;Bird
Dataset/train/images\BTR (5758).jpg;Bird
Dataset/train/images\BTR (5759).jpg;Bird
Dataset/train/images\BTR (576).jpg;Bird
Dataset/train/images\BTR (5760).jpg;Bird
Dataset/train/images\BTR (5761).jpg;Bird
Dataset/train/images\BTR (5762).jpg;Bird
Dataset/train/images\BTR (5763).jpg;Bird
Dataset/train/images\BTR (5764).jpg;Bird
Dataset/train/images\BTR (5765).jpg;Bird
Dataset/train/images\BTR (5766).jpg;Bird
Dataset/train/images\BTR (5767).jpg;Bird
Dataset/train/images\BTR (5768).jpg;Bird
Dataset/train/images\BTR (5769).jpg;Bird
Dataset/train/images\BTR (577).jpg;Bird
Dataset/train/images\BTR (5770).jpg;Bird
Dataset/train/images\BTR (5771).jpg;Bird
Dataset/train/images\BTR (5772).jpg;Bird
Dataset/train/images\BTR (5773).jpg;Bird
Dataset/train/images\BTR (5774).jpg;Bird
Dataset/train/images\BTR (5775).jpg;Bird
Dataset/train/images\BTR (5776).jpg;Bird
Dataset/train/images\BTR (5777).jpg;Bird
Dataset/train/images\BTR (5778).jpg;Bird
Dataset/train/images\BTR (5779).jpg;Bird
Dataset/train/images\BTR (578).jpg;Bird
Dataset/train/images\BTR (5780).jpg;Bird
Dataset/train/images\BTR (5781).jpg;Bird
Dataset/train/images\BTR (5782).jpg;Bird
Dataset/train/images\BTR (5783).jpg;Bird
Dataset/train/images\BTR (5784).jpg;Bird
Dataset/train/images\BTR (5785).jpg;Bird
Dataset/train/images\BTR (5786).jpg;Bird
Dataset/train/images\BTR (5787).jpg;Bird
Dataset/train/images\BTR (5788).jpg;Bird
Dataset/train/images\BTR (5789).jpg;Bird
Dataset/train/images\BTR (579).jpg;Bird
Dataset/train/images\BTR (5790).jpg;Bird
Dataset/train/images\BTR (5791).jpg;Bird
Dataset/train/images\BTR (5792).jpg;Bird
Dataset/train/images\BTR (5793).jpg;Bird
Dataset/train/images\BTR (5794).jpg;Bird
Dataset/train/images\BTR (5795).jpg;Bird
Dataset/train/images\BTR (5796).jpg;Bird
Dataset/train/images\BTR (5797).jpg;Bird
Dataset/train/images\BTR (5798).jpg;Bird
Dataset/train/images\BTR (5799).jpg;Bird
Dataset/train/images\BTR (58).jpg;Bird
Dataset/train/images\BTR (580).jpg;Bird
Dataset/train/images\BTR (5800).jpg;Bird
Dataset/train/images\BTR (5801).jpg;Bird
Dataset/train/images\BTR (5802).jpg;Bird
Dataset/train/images\BTR (5803).jpg;Bird
Dataset/train/images\BTR (5804).jpg;Bird
Dataset/train/images\BTR (5805).jpg;Bird
Dataset/train/images\BTR (5806).jpg;Bird
Dataset/train/images\BTR (5807).jpg;Bird
Dataset/train/images\BTR (5808).jpg;Bird
Dataset/train/images\BTR (5809).jpg;Bird
Dataset/train/images\BTR (581).jpg;Bird
Dataset/train/images\BTR (5810).jpg;Bird
Dataset/train/images\BTR (5811).jpg;Bird
Dataset/train/images\BTR (5812).jpg;Bird
Dataset/train/images\BTR (5813).jpg;Bird
Dataset/train/images\BTR (5814).jpg;Bird
Dataset/train/images\BTR (5815).jpg;Bird
Dataset/train/images\BTR (5816).jpg;Bird
Dataset/train/images\BTR (5817).jpg;Bird
Dataset/train/images\BTR (5818).jpg;Bird
Dataset/train/images\BTR (5819).jpg;Bird
Dataset/train/images\BTR (582).jpg;Bird
Dataset/train/images\BTR (5820).jpg;Bird
Dataset/train/images\BTR (5821).jpg;Bird
Dataset/train/images\BTR (5822).jpg;Bird
Dataset/train/images\BTR (5823).jpg;Bird
Dataset/train/images\BTR (5824).jpg;Bird
Dataset/train/images\BTR (5825).jpg;Bird
Dataset/train/images\BTR (5826).jpg;Bird
Dataset/train/images\BTR (5827).jpg;Bird
Dataset/train/images\BTR (5828).jpg;Bird
Dataset/train/images\BTR (5829).jpg;Bird
Dataset/train/images\BTR (583).jpg;Bird
Dataset/train/images\BTR (5830).jpg;Bird
Dataset/train/images\BTR (5831).jpg;Bird
Dataset/train/images\BTR (5832).jpg;Bird
Dataset/train/images\BTR (5833).jpg;Bird
Dataset/train/images\BTR (5834).jpg;Bird
Dataset/train/images\BTR (5835).jpg;Bird
Dataset/train/images\BTR (5836).jpg;Bird
Dataset/train/images\BTR (5837).jpg;Bird
Dataset/train/images\BTR (5838).jpg;Bird
Dataset/train/images\BTR (5839).jpg;Bird
Dataset/train/images\BTR (584).jpg;Bird
Dataset/train/images\BTR (5840).jpg;Bird
Dataset/train/images\BTR (5841).jpg;Bird
Dataset/train/images\BTR (5842).jpg;Bird
Dataset/train/images\BTR (5843).jpg;Bird
Dataset/train/images\BTR (5844).jpg;Bird
Dataset/train/images\BTR (5845).jpg;Bird
Dataset/train/images\BTR (5846).jpg;Bird
Dataset/train/images\BTR (5847).jpg;Bird
Dataset/train/images\BTR (5848).jpg;Bird
Dataset/train/images\BTR (5849).jpg;Bird
Dataset/train/images\BTR (585).jpg;Bird
Dataset/train/images\BTR (5850).jpg;Bird
Dataset/train/images\BTR (5851).jpg;Bird
Dataset/train/images\BTR (5852).jpg;Bird
Dataset/train/images\BTR (5853).jpg;Bird
Dataset/train/images\BTR (5854).jpg;Bird
Dataset/train/images\BTR (5855).jpg;Bird
Dataset/train/images\BTR (5856).jpg;Bird
Dataset/train/images\BTR (5857).jpg;Bird
Dataset/train/images\BTR (5858).jpg;Bird
Dataset/train/images\BTR (5859).jpg;Bird
Dataset/train/images\BTR (586).jpg;Bird
Dataset/train/images\BTR (5860).jpg;Bird
Dataset/train/images\BTR (5861).jpg;Bird
Dataset/train/images\BTR (5862).jpg;Bird
Dataset/train/images\BTR (5863).jpg;Bird
Dataset/train/images\BTR (5864).jpg;Bird
Dataset/train/images\BTR (5865).jpg;Bird
Dataset/train/images\BTR (5866).jpg;Bird
Dataset/train/images\BTR (5867).jpg;Bird
Dataset/train/images\BTR (5868).jpg;Bird
Dataset/train/images\BTR (5869).jpg;Bird
Dataset/train/images\BTR (587).jpg;Bird
Dataset/train/images\BTR (5870).jpg;Bird
Dataset/train/images\BTR (5871).jpg;Bird
Dataset/train/images\BTR (5872).jpg;Bird
Dataset/train/images\BTR (5873).jpg;Bird
Dataset/train/images\BTR (5874).jpg;Bird
Dataset/train/images\BTR (5875).jpg;Bird
Dataset/train/images\BTR (5876).jpg;Bird
Dataset/train/images\BTR (5877).jpg;Bird
Dataset/train/images\BTR (5878).jpg;Bird
Dataset/train/images\BTR (5879).jpg;Bird
Dataset/train/images\BTR (588).jpg;Bird
Dataset/train/images\BTR (5880).jpg;Bird
Dataset/train/images\BTR (5881).jpg;Bird
Dataset/train/images\BTR (5882).jpg;Bird
Dataset/train/images\BTR (5883).jpg;Bird
Dataset/train/images\BTR (5884).jpg;Bird
Dataset/train/images\BTR (5885).jpg;Bird
Dataset/train/images\BTR (5886).jpg;Bird
Dataset/train/images\BTR (5887).jpg;Bird
Dataset/train/images\BTR (5888).jpg;Bird
Dataset/train/images\BTR (5889).jpg;Bird
Dataset/train/images\BTR (589).jpg;Bird
Dataset/train/images\BTR (5890).jpg;Bird
